id,address,city,latitude,longitude,site_score,state_name,county_name,tract,block_group,tot_population_cen_2010,hispanic_cen_2010,nh_blk_alone_cen_2010,nh_aian_alone_cen_2010,nh_asian_alone_cen_2010,nh_nhopi_alone_cen_2010,nh_sor_alone_cen_2010,college_acs_09_13,no_health_ins_acs_09_13,med_hhd_inc_bg_acs_09_13,aggregate_hh_inc_acs_09_13,tot_vacant_units_cen_2010,renter_occp_hu_cen_2010,owner_occp_hu_cen_2010,no_plumb_acs_09_13,med_house_value_bg_acs_09_13,pct_hispanic_cen_2010,pct_nh_blk_alone_cen_2010,pct_nh_aian_alone_cen_2010,pct_nh_asian_alone_cen_2010,pct_nh_nhopi_alone_cen_2010,pct_nh_sor_alone_cen_2010,pct_not_hs_grad_acs_09_13,pct_no_health_ins_acs_09_13,pct_vacant_units_cen_2010,pct_renter_occp_hu_cen_2010,pct_owner_occp_hu_cen_2010,pct_no_plumb_acs_09_13,pct_poc
429,"600 TERMINAL AVE, NEW CASTLE, DE 19720",New Castle,39.7186361,-75.5365402,30.9,Delaware,New Castle County,15502,1,2051.0,247.0,1418.0,4.0,8.0,2.0,0.0,89.0,305.0,33340.0,27005100.0,82.0,260.0,443.0,16.0,104300.0,12.04,69.14,0.2,0.39,0.1,0.0,25.32,15.8,10.45,36.98,63.02,2.04,81.87
430,"OLD COUNTY RD, KIRKWOOD, DE 19708",Kirkwood,39.5705385,-75.6976136,30.77,Delaware,New Castle County,14810,1,2471.0,85.0,283.0,2.0,116.0,1.0,6.0,660.0,89.0,107804.0,84362800.0,12.0,32.0,832.0,0.0,300700.0,3.44,11.45,0.08,4.69,0.04,0.24,5.3,4.03,1.37,3.7,96.3,0.0,19.939999999999998
340,"ROUTE 1 BOX 125, POINT PLEASANT, WV 25550",Point Pleasant,38.8445251,-82.1370889,0.0,West Virginia,Mason County,955000,5,821.0,1.0,27.0,3.0,7.0,0.0,0.0,105.0,174.0,29152.0,14466200.0,62.0,337.0,126.0,94.0,64800.0,0.12,3.29,0.37,0.85,0.0,0.0,23.22,23.67,11.81,72.79,27.21,21.27,4.63
341,"SEC32 T25N R25E TOWN OF AHNAPEE, ALGOMA, WI 54201",Algoma,44.6088884,-87.4325891,39.99,Wisconsin,Kewaunee County,960100,1,1199.0,53.0,14.0,15.0,5.0,0.0,0.0,112.0,107.0,34118.0,23373400.0,145.0,204.0,335.0,26.0,110900.0,4.42,1.17,1.25,0.42,0.0,0.0,5.76,8.62,21.2,37.85,62.15,3.8,7.26
342,"N39 W5789 HAMILTON ROAD, CEDARBURG, WI 53012",Cedarburg,43.2894084,-87.9821003,46.86,Wisconsin,Ozaukee County,650200,3,1073.0,10.0,2.0,0.0,6.0,1.0,0.0,402.0,0.0,69063.0,30689500.0,21.0,95.0,336.0,0.0,239400.0,0.93,0.19,0.0,0.56,0.09,0.0,0.0,0.0,4.65,22.04,77.96,0.0,1.7700000000000002
343,"300 ST. CLAIRE ST., ASHLAND, WI 54806",Ashland,46.5943916,-90.8823174,50.0,Wisconsin,Ashland County,950300,1,1906.0,40.0,5.0,88.0,17.0,0.0,1.0,338.0,97.0,38816.0,34144500.0,81.0,316.0,418.0,31.0,114400.0,2.1,0.26,4.62,0.89,0.0,0.05,9.24,5.25,9.94,43.05,56.95,3.77,7.92
344,"519 LANDE ST, DE PERE, WI 54115",DePere,44.4389517,-88.0757692,48.91,Wisconsin,Brown County,10202,3,2100.0,42.0,24.0,32.0,27.0,0.0,0.0,314.0,235.0,61067.0,48394300.0,19.0,156.0,653.0,0.0,151300.0,2.0,1.1400000000000001,1.52,1.29,0.0,0.0,3.17,13.12,2.29,19.28,80.72,0.0,5.95
345,"SAND HILL RD, DUNN, WI 53575",Dunn,42.9493584,-89.3482329,36.84,Wisconsin,Dane County,12501,5,992.0,33.0,7.0,1.0,17.0,0.0,0.0,230.0,47.0,57857.0,26328300.0,12.0,86.0,295.0,0.0,227100.0,3.33,0.71,0.1,1.71,0.0,0.0,2.07,5.93,3.05,22.57,77.43,0.0,5.85
346,"SOUTH WRIGHT STREET, DELAVAN, WI 53115",Delavan,42.632802,-88.6256762,28.9,Wisconsin,Walworth County,800,1,1493.0,188.0,15.0,5.0,17.0,0.0,0.0,154.0,140.0,45476.0,34372400.0,92.0,151.0,457.0,10.0,169500.0,12.59,1.0,0.33,1.1400000000000001,0.0,0.0,3.08,10.65,13.14,24.84,75.16,1.43,15.06
347,"2318 COUNTY TRUNK HIGHWAY A, STOUGHTON, WI 53589",Stoughton,42.9116295,-89.1969822,32.06,Wisconsin,Dane County,12300,4,1521.0,17.0,45.0,3.0,21.0,2.0,0.0,236.0,210.0,38542.0,31180800.0,47.0,206.0,417.0,0.0,168000.0,1.12,2.96,0.2,1.38,0.13,0.0,9.22,13.99,7.01,33.07,66.93,0.0,5.79
348,"12731 E LOS NIETOS RD, SANTA FE SPRINGS, CA 90670",Santa Fe Springs,33.9486457,-118.0574086,34.6,California,Los Angeles County,502902,1,1586.0,1299.0,14.0,1.0,65.0,0.0,0.0,163.0,258.0,63269.0,23566600.0,9.0,115.0,268.0,0.0,338800.0,81.9,0.88,0.06,4.1,0.0,0.0,26.05,18.25,2.3,30.03,69.97,0.0,86.94
349,"EAST END OF RAASCH HILL ROAD, WILLIAMSTOWN, WI 53032",Williamstown,43.4580917,-88.5876812,47.91,Wisconsin,Dodge County,960200,3,1150.0,27.0,5.0,0.0,2.0,0.0,2.0,122.0,34.0,65438.0,34512100.0,21.0,58.0,381.0,7.0,170000.0,2.35,0.43,0.0,0.17,0.0,0.17,14.14,2.68,4.57,13.21,86.79,1.3599999999999999,3.12
353,"444 HIGHLAND DRIVE, KOHLER, WI 53044",Kohler,43.7400273,-87.7792598,42.93,Wisconsin,Sheboygan County,10700,3,2465.0,55.0,3.0,0.0,71.0,0.0,0.0,937.0,70.0,81813.0,100631200.0,94.0,106.0,838.0,0.0,205500.0,2.23,0.12,0.0,2.88,0.0,0.0,2.5300000000000002,2.62,9.06,11.23,88.77,0.0,5.23
354,"W124 N8925 BOUNDARY RD, MENOMONEE FALLS, WI 53051",Menomonee Falls,43.1810784,-88.0641446,42.69,Wisconsin,Waukesha County,200202,1,1640.0,27.0,90.0,2.0,68.0,0.0,2.0,479.0,78.0,61111.0,63776000.0,56.0,312.0,531.0,0.0,212500.0,1.65,5.49,0.12,4.15,0.0,0.12,6.04,5.06,6.23,37.01,62.99,0.0,11.53
355,"ROUTE 1 HEMPTON LAKE ROAD, WHITELAW, WI 54247",Whitelaw,44.144716,-87.8214788,34.07,Wisconsin,Manitowoc County,10400,5,1772.0,34.0,1.0,7.0,9.0,0.0,0.0,202.0,109.0,61033.0,45599700.0,32.0,83.0,594.0,0.0,144800.0,1.92,0.06,0.4,0.51,0.0,0.0,7.6,6.87,4.51,12.26,87.74,0.0,2.8899999999999997
356,"RTE 1 2MI N OF WHITELAW, FRANKLIN TOWNSHIP, WI 54247",Franklin Township,44.1543185,-87.948507,34.58,Wisconsin,Manitowoc County,10300,1,1565.0,78.0,0.0,12.0,7.0,1.0,0.0,123.0,69.0,55893.0,34655900.0,55.0,82.0,483.0,8.0,135900.0,4.98,0.0,0.77,0.45,0.06,0.0,9.12,4.87,8.87,14.51,85.49,1.34,6.26
357,"1610 MOORLAND RD, BLOOMING GROVE, WI 53713",Blooming Grove,43.035459,-89.3565495,32.65,Wisconsin,Dane County,1502,2,1153.0,362.0,182.0,0.0,48.0,0.0,0.0,297.0,392.0,32088.0,29372900.0,53.0,305.0,155.0,0.0,165000.0,31.4,15.78,0.0,4.16,0.0,0.0,11.7,22.65,10.33,66.3,33.7,0.0,51.34
358,"SW1/4 OF SW1/4 SEC5 T7N R20E, BROOKFIELD, WI 53005",Brookfield,43.0717382,-88.099845,47.49,Wisconsin,Waukesha County,200902,4,1477.0,34.0,7.0,4.0,44.0,0.0,2.0,736.0,41.0,121705.0,75024600.0,21.0,18.0,524.0,29.0,317500.0,2.3,0.47000000000000003,0.27,2.98,0.0,0.14,0.0,2.76,3.73,3.32,96.68,5.14,6.159999999999999
359,"440 KINGS VILLAGE RD, SCOTTS VALLEY, CA 95066",Scotts Valley,37.050942,-122.028783,28.9,California,Santa Cruz County,120900,4,1555.0,141.0,7.0,1.0,101.0,1.0,1.0,598.0,110.0,115049.0,68447900.0,28.0,109.0,578.0,0.0,465000.0,9.07,0.45,0.06,6.5,0.06,0.06,0.0,6.24,3.92,15.87,84.13,0.0,16.199999999999996
360,"SW1/4 SEC4 T27N R4E, CLEVELAND TOWNSHIP, WI 53013",Cleveland Township,43.5816609,-87.845913,35.23,Wisconsin,Sheboygan County,11300,2,1166.0,18.0,3.0,0.0,9.0,4.0,0.0,118.0,12.0,56125.0,34674200.0,25.0,34.0,396.0,0.0,195900.0,1.54,0.26,0.0,0.77,0.34,0.0,9.41,1.16,5.49,7.91,92.09,0.0,2.91
361,"8716 N GRANVILLE ROAD, MILWAUKEE, WI 53244",Milwaukee,43.176209,-88.04149,32.14,Wisconsin,Milwaukee County,202,2,1541.0,48.0,778.0,8.0,80.0,5.0,4.0,319.0,141.0,57212.0,38257800.0,22.0,120.0,471.0,0.0,154600.0,3.11,50.49,0.52,5.19,0.32,0.26,9.13,8.44,3.59,20.3,79.7,0.0,59.89
370,"401 HENDY AVENUE, SUNNYVALE, CA 95117",Sunnyvale,37.3774988,-122.0250022,39.93,California,Santa Clara County,508704,2,2225.0,686.0,37.0,14.0,719.0,13.0,10.0,835.0,302.0,77333.0,79125300.0,48.0,483.0,316.0,0.0,461300.0,30.83,1.6600000000000001,0.63,32.31,0.58,0.45,8.11,15.05,5.67,60.45,39.55,0.0,66.46000000000001
431,"FOOT OF LINDBURG ST, NEWPORT, DE 19804",Newport,39.7137237,-75.6093709,33.56,Delaware,New Castle County,12700,5,583.0,125.0,98.0,2.0,7.0,0.0,0.0,67.0,75.0,37361.0,10392100.0,20.0,134.0,92.0,0.0,190100.0,21.44,16.81,0.34,1.2,0.0,0.0,23.99,13.59,8.13,59.29,40.71,0.0,39.790000000000006
432,"MITCHELL RD POB 607, MILLSBORO, DE 19966",Millsboro,38.5915023,-75.2913018,38.21,Delaware,Sussex County,50602,3,1832.0,244.0,530.0,4.0,24.0,0.0,5.0,202.0,184.0,37434.0,41465000.0,147.0,259.0,445.0,12.0,192200.0,13.32,28.93,0.22,1.31,0.0,0.27,15.9,9.27,17.27,36.79,63.21,1.17,44.050000000000004
362,"HIGHWAY 24 &amp; CROWBAR ROAD, MUSKEGO, WI 53150",Muskego,42.905848,-88.1389779,51.91,Wisconsin,Waukesha County,201703,2,932.0,24.0,1.0,1.0,2.0,0.0,1.0,336.0,25.0,108750.0,36531400.0,7.0,23.0,289.0,0.0,273400.0,2.58,0.11,0.11,0.21,0.0,0.11,0.0,2.33,2.19,7.37,92.63,0.0,3.1199999999999997
363,"725 SOUTH OUTAGAMIE STREET, APPLETON, WI 54914",Appleton,44.255619,-88.429198,0.0,Wisconsin,Outagamie County,11000,3,1393.0,162.0,23.0,6.0,29.0,0.0,1.0,192.0,93.0,29625.0,28165800.0,45.0,390.0,313.0,0.0,162500.0,11.63,1.65,0.43,2.08,0.0,0.07,8.73,7.51,6.02,55.48,44.52,0.0,15.860000000000001
364,"3925 N HASTINGS WAY, EAU CLAIRE, WI 54701",Eau Claire,44.7795289,-91.4353333,42.39,Wisconsin,Eau Claire County,302,1,4126.0,76.0,38.0,15.0,121.0,0.0,10.0,802.0,384.0,50407.0,125763500.0,124.0,826.0,1017.0,0.0,166800.0,1.8399999999999999,0.92,0.36,2.93,0.0,0.24,7.79,9.42,6.3,44.82,55.18,0.0,6.29
365,"W2573 OAK STREET, ASHIPPUN, WI 53003",Ashippun,43.2140826,-88.5209427,31.86,Wisconsin,Dodge County,961500,3,2144.0,33.0,1.0,2.0,2.0,1.0,1.0,303.0,76.0,62500.0,58869900.0,35.0,151.0,663.0,0.0,247700.0,1.54,0.05,0.09,0.09,0.05,0.05,8.29,3.41,4.12,18.55,81.45,0.0,1.8700000000000003
366,"SPORTMAN RD, ONALASKA, WI 54650",Onalaska,43.9556444,-91.3372144,42.47,Wisconsin,La Crosse County,10203,1,1134.0,18.0,2.0,3.0,3.0,0.0,0.0,177.0,37.0,71597.0,31369000.0,20.0,12.0,397.0,0.0,156500.0,1.5899999999999999,0.18,0.26,0.26,0.0,0.0,2.16,3.68,4.66,2.93,97.07,0.0,2.29
367,"8682 STATE RD 70, DANIELS TOWNSHIP, DANIELS, WI 54872",Daniels,45.7859352,-92.4925878,50.0,Wisconsin,Burnett County,970800,1,1288.0,16.0,2.0,17.0,5.0,0.0,0.0,124.0,113.0,36250.0,24348000.0,361.0,79.0,478.0,45.0,132600.0,1.24,0.16,1.32,0.39,0.0,0.0,11.4,9.01,39.32,14.18,85.82,5.22,3.11
368,"SW1/4 OF NW1/4 SEC8 T7N R8E, MIDDLETON, WI 53562",Middleton,43.0972174,-89.5042876,34.67,Wisconsin,Dane County,11101,3,1324.0,58.0,25.0,2.0,11.0,2.0,7.0,582.0,19.0,46371.0,44294300.0,36.0,247.0,363.0,0.0,235200.0,4.38,1.8900000000000001,0.15,0.8300000000000001,0.15,0.53,5.69,1.46,5.57,40.49,59.51,0.0,7.930000000000001
369,"S OF COUNTY HWY FF, FOND DU LAC COUNTY, WI 54971",Fond Du Lac County,43.88542,-88.8855259,39.04,Wisconsin,Green Lake County,100400,1,797.0,12.0,2.0,1.0,2.0,3.0,0.0,124.0,24.0,57188.0,21250000.0,144.0,39.0,304.0,19.0,170700.0,1.51,0.25,0.13,0.25,0.38,0.0,1.56,3.75,29.57,11.37,88.63,4.08,2.52
389,"N BOUNDRY OF CITY LIMITS, ANCHORAGE, AK 99506",Greater Anchorage Borough,61.2744031,-149.7871533,45.91,Alaska,Anchorage Municipality,400,1,5937.0,663.0,531.0,40.0,128.0,24.0,7.0,612.0,51.0,61528.0,94070200.0,7.0,1438.0,10.0,0.0,0.0,11.17,8.94,0.67,2.16,0.4,0.12,1.35,0.88,0.48,99.31,0.6900000000000001,0.0,23.46
420,"PACKER ROAD, CANTERBURY, CT 06331",Canterbury,41.6600026,-71.9583607,36.72,Connecticut,Windham County,906100,1,1744.0,39.0,18.0,9.0,13.0,0.0,1.0,283.0,108.0,72923.0,63018500.0,49.0,156.0,545.0,52.0,218400.0,2.24,1.03,0.52,0.75,0.0,0.06,9.32,6.21,6.53,22.25,77.75,6.4,4.6000000000000005
436,"901 M STREET, SE, WASHINGTON, DC 203740001",Washington,38.8763505,-76.99337,48.57,District of Columbia,District of Columbia,7200,2,830.0,45.0,473.0,0.0,34.0,0.0,0.0,304.0,12.0,25375.0,39002200.0,89.0,611.0,18.0,0.0,0.0,5.42,56.99,0.0,4.1,0.0,0.0,16.1,1.1400000000000001,12.4,97.14,2.86,0.0,66.51
371,"LANDFILL ROAD 10 MILE WEST BARABOO, EXCELSIOR, WI 53959",Excelsior,43.5183871,-89.8767405,34.21,Wisconsin,Sauk County,200,3,1212.0,26.0,2.0,2.0,4.0,0.0,1.0,188.0,71.0,64500.0,37064800.0,68.0,54.0,414.0,9.0,206500.0,2.15,0.17,0.17,0.33,0.0,0.08,10.71,5.95,12.69,11.54,88.46,1.75,2.9
372,"ROUTE 2 FIRE LANE 1, HARRISON, WI 54911",Harrison,44.2095371,-88.3957039,48.92,Wisconsin,Calumet County,20308,1,1650.0,31.0,0.0,2.0,41.0,0.0,0.0,494.0,0.0,87695.0,80856100.0,64.0,52.0,524.0,0.0,240600.0,1.88,0.0,0.12,2.48,0.0,0.0,0.72,0.0,10.0,9.03,90.97,0.0,4.48
373,"510 W ALLMAN, MEDFORD, WI 54451",Medford,45.1481061,-90.3544212,34.24,Wisconsin,Taylor County,960500,2,1290.0,18.0,4.0,2.0,5.0,0.0,0.0,202.0,72.0,41838.0,26433100.0,28.0,205.0,349.0,0.0,108100.0,1.4,0.31,0.16,0.39,0.0,0.0,12.64,6.26,4.8100000000000005,37.0,63.0,0.0,2.26
374,"HARBOR, SHEBOYGAN, WI 53081",Sheboygan,43.753849,-87.7009201,33.79,Wisconsin,Sheboygan County,11400,2,1048.0,96.0,23.0,5.0,26.0,0.0,0.0,189.0,185.0,41567.0,25484600.0,71.0,210.0,239.0,0.0,139000.0,9.16,2.19,0.48,2.48,0.0,0.0,1.74,19.27,13.65,46.77,53.23,0.0,14.31
375,"ROUTE 2 (ECKES ROAD), SPENCER, WI 54479",Spencer,44.7577418,-90.2968012,44.24,Wisconsin,Marathon County,2100,3,1255.0,27.0,0.0,5.0,0.0,1.0,0.0,113.0,177.0,55823.0,30705800.0,44.0,114.0,429.0,0.0,109700.0,2.15,0.0,0.4,0.0,0.08,0.0,11.2,12.51,7.5,20.99,79.01,0.0,2.63
419,"LAZY LANE, SOUTHINGTON, CT 06489",Southington,41.6207835,-72.883224,44.93,Connecticut,Hartford County,430601,1,2206.0,187.0,51.0,2.0,96.0,0.0,3.0,335.0,87.0,54342.0,68247400.0,37.0,474.0,531.0,0.0,181000.0,8.48,2.31,0.09,4.35,0.0,0.14,4.65,3.93,3.55,47.16,52.84,0.0,15.370000000000001
386,"S OF CY-YAK TUNNEL DOWNSTREAM, LEADVILLE, CO 80461",Leadville,39.2508229,-106.2925238,55.84,Colorado,Lake County,961700,4,607.0,194.0,3.0,3.0,2.0,1.0,1.0,250.0,183.0,37609.0,14664800.0,134.0,146.0,136.0,0.0,211100.0,31.96,0.49,0.49,0.33,0.16,0.16,0.0,28.59,32.21,51.77,48.23,0.0,33.589999999999996
376,"AMUNDSON PKWY &amp; SKOGDALEN DR, STOUGHTON, WI 53589",Stoughton,42.9204414,-89.2056624,35.79,Wisconsin,Dane County,12201,2,1301.0,14.0,10.0,0.0,9.0,0.0,0.0,276.0,71.0,58250.0,45445600.0,28.0,121.0,433.0,12.0,175000.0,1.08,0.77,0.0,0.6900000000000001,0.0,0.0,10.44,4.83,4.8100000000000005,21.84,78.16,2.02,2.54
377,"1MI NE OF LAKE TOMAH, TOMAH, WI 54660",Tomah,43.9785759,-90.5040214,30.63,Wisconsin,Monroe County,950600,1,1635.0,65.0,26.0,38.0,12.0,0.0,0.0,187.0,169.0,40952.0,34821400.0,58.0,380.0,338.0,7.0,113200.0,3.98,1.5899999999999999,2.32,0.73,0.0,0.0,13.43,11.0,7.47,52.92,47.08,0.89,8.620000000000001
378,"WEST 24TH AVENUE, TOMAH, WI 54660",Tomah,43.9963254,-90.5197869,45.91,Wisconsin,Monroe County,950500,1,3056.0,128.0,90.0,53.0,54.0,18.0,0.0,549.0,76.0,59505.0,86591700.0,69.0,450.0,770.0,21.0,159200.0,4.19,2.95,1.73,1.77,0.59,0.0,8.34,2.37,5.35,36.89,63.11,1.6099999999999999,11.23
379,"1365 N BROOKFIELD RD, BROOKFIELD, WI 53005",Brookfield,43.0496653,-88.1469925,28.9,Wisconsin,Waukesha County,201202,2,1628.0,45.0,19.0,2.0,133.0,2.0,4.0,656.0,142.0,55250.0,72934400.0,60.0,191.0,509.0,15.0,336600.0,2.76,1.17,0.12,8.17,0.12,0.25,2.1,8.08,7.89,27.29,72.71,1.81,12.589999999999998
380,"S24 &amp; 25 T29N R7E, WAUSAU, WI 54401",Wausau,44.9591352,-89.6301221,28.91,Wisconsin,Marathon County,100,3,885.0,56.0,59.0,24.0,86.0,0.0,0.0,86.0,142.0,15882.0,4890100.0,66.0,274.0,32.0,0.0,39800.0,6.33,6.67,2.71,9.72,0.0,0.0,19.32,16.36,17.74,89.54,10.46,0.0,25.43
381,"12275 SOUTH HIGHWAY 75, LITTLETON, CO 80127",Waterton,39.5679747,-105.0620246,42.93,Colorado,Jefferson County,12053,2,948.0,90.0,1.0,6.0,17.0,1.0,2.0,190.0,49.0,68750.0,27112900.0,12.0,56.0,321.0,0.0,201400.0,9.49,0.11,0.63,1.79,0.11,0.21,9.95,5.19,3.08,14.85,85.15,0.0,12.34
382,"I-25 AND RANDALL AVENUE, CHEYENNE, WY 82005",Cheyenne,41.1462797,-104.8397284,39.23,Wyoming,Laramie County,1100,2,1445.0,173.0,137.0,6.0,32.0,8.0,2.0,64.0,35.0,41174.0,14163000.0,16.0,326.0,5.0,12.0,0.0,11.97,9.48,0.42,2.21,0.55,0.14,5.65,2.39,4.61,98.49,1.51,3.21,24.770000000000007
383,"U.S.HWY 20,28 &amp; MYSTERY BR. RD, EVANSVILLE, WY 82636",Evansville,42.8599653,-106.2683566,32.1,Wyoming,Natrona County,1602,1,2554.0,316.0,20.0,28.0,10.0,1.0,2.0,93.0,577.0,41733.0,48486700.0,143.0,333.0,635.0,27.0,145500.0,12.37,0.78,1.1,0.39,0.04,0.08,17.99,21.3,12.87,34.4,65.6,2.39,14.759999999999998
384,"Multiple sources located proximial to the , UNINCORPORATED, CO 81433",San Juan,37.8543181,-107.6215321,50.0,Colorado,San Juan County,972600,1,699.0,84.0,0.0,1.0,7.0,0.0,2.0,124.0,177.0,39583.0,15013100.0,412.0,134.0,210.0,60.0,242300.0,12.02,0.0,0.14,1.0,0.0,0.29,5.59,26.86,54.5,38.95,61.05,8.34,13.45
385,"5600 HURON ST, DENVER, CO 80221",Denver,39.7982913,-104.9961063,35.13,Colorado,Adams County,9553,2,933.0,502.0,5.0,11.0,8.0,0.0,0.0,100.0,273.0,51111.0,21994900.0,19.0,165.0,195.0,0.0,165100.0,53.8,0.54,1.18,0.86,0.0,0.0,28.01,31.09,5.01,45.83,54.17,0.0,56.379999999999995
387,"T1N R73 W, SE 1/4 SEC. 12, WARD, CO 80481",Ward,40.1028037,-105.488828,50.56,Colorado,Boulder County,13701,4,1274.0,29.0,3.0,7.0,10.0,2.0,0.0,711.0,329.0,70729.0,55089000.0,246.0,146.0,474.0,155.0,346100.0,2.2800000000000002,0.24,0.55,0.78,0.16,0.0,0.23,21.88,28.41,23.55,76.45,16.87,4.010000000000001
388,"NEAR TOWN, IDAHO SPRINGS, CO 80452",Idaho Springs,39.7424881,-105.5136081,51.39,Colorado,Clear Creek County,14800,1,1610.0,93.0,6.0,4.0,9.0,0.0,0.0,256.0,315.0,50175.0,45282100.0,101.0,321.0,451.0,0.0,162200.0,5.78,0.37,0.25,0.56,0.0,0.0,4.77,19.11,11.57,41.58,58.42,0.0,6.960000000000001
390,"4661 MONACO ST., DENVER, CO 80216",Denver,39.7810146,-104.9140859,37.93,Colorado,Denver County,4102,1,1138.0,331.0,502.0,12.0,4.0,0.0,1.0,141.0,259.0,40750.0,14939800.0,28.0,98.0,177.0,0.0,161500.0,29.09,44.11,1.05,0.35000000000000003,0.0,0.09,14.43,20.36,9.24,35.64,64.36,0.0,74.69
391,"INTERSTATE 25 AND SANTA FE AVENUE, PUEBLO, CO 81006",Pueblo,38.31046,-104.616546,50.0,Colorado,Pueblo County,2903,1,1944.0,600.0,11.0,8.0,53.0,3.0,11.0,529.0,154.0,54741.0,50870000.0,46.0,164.0,721.0,0.0,148700.0,30.86,0.5700000000000001,0.41000000000000003,2.73,0.15,0.5700000000000001,5.4,8.66,4.94,18.53,81.47,0.0,35.29
392,"VARIOUS PLACES IN DENVER, DENVER, CO 80204",Denver,39.7351699,-105.0225899,44.11,Colorado,Denver County,800,1,1448.0,780.0,376.0,18.0,122.0,0.0,0.0,36.0,146.0,9537.0,6277800.0,23.0,432.0,19.0,23.0,0.0,53.87,25.97,1.24,8.43,0.0,0.0,53.17,10.33,4.85,95.79,4.21,4.65,89.50999999999999
393,"W OF US HWY 24, MINTURN, CO 81645","Minturn, Redcliff",39.5867126,-106.4299931,47.19,Colorado,Eagle County,600,1,1398.0,477.0,7.0,6.0,9.0,0.0,0.0,421.0,298.0,64450.0,38927600.0,168.0,268.0,317.0,10.0,530900.0,34.12,0.5,0.43,0.64,0.0,0.0,10.42,22.61,22.31,45.81,54.19,1.51,35.69
394,"2 MI S OF CANON CY, CANON CITY, CO 81212",Canon City,38.440681,-105.241142,31.31,Colorado,Fremont County,978600,3,795.0,76.0,3.0,5.0,2.0,0.0,0.0,76.0,21.0,22500.0,13122600.0,80.0,284.0,145.0,0.0,86900.0,9.56,0.38,0.63,0.25,0.0,0.0,25.67,3.14,15.72,66.2,33.8,0.0,10.820000000000002
395,"4200 S GUN CLUB RD, AURORA, CO 80018",Arapahoe County,39.6408751,-104.7163146,48.36,Colorado,Arapahoe County,83200,1,1759.0,283.0,129.0,11.0,123.0,6.0,0.0,382.0,284.0,89063.0,37731400.0,20.0,66.0,494.0,0.0,216600.0,16.09,7.33,0.63,6.99,0.34,0.0,2.21,19.31,3.45,11.79,88.21,0.0,31.38
396,"1600 S 66TH STREET, BOULDER, CO 80303",Boulder County,39.953706,-105.1982027,0.0,Colorado,Boulder County,60600,1,1115.0,106.0,8.0,6.0,100.0,0.0,0.0,842.0,14.0,95565.0,64581200.0,22.0,146.0,315.0,30.0,281600.0,9.51,0.72,0.54,8.97,0.0,0.0,3.43,1.0,4.55,31.67,68.33,4.52,19.740000000000002
397,"NATIONAL FOREST ROAD 503.4, Creede, CO 81130",Creede,37.7934075,-106.9156278,48.03,Colorado,Mineral County,973600,1,712.0,21.0,2.0,4.0,1.0,0.0,0.0,267.0,81.0,47083.0,30741500.0,846.0,61.0,294.0,49.0,275000.0,2.95,0.28,0.56,0.14,0.0,0.0,3.5300000000000002,10.64,70.44,17.18,82.82,3.88,3.9300000000000006
398,"HWY 93 BETWEEN GOLDEN&amp;BOULDER, GOLDEN, CO 80402",Golden,39.7408671,-105.2018568,64.32,Colorado,Jefferson County,10000,1,2124.0,504.0,115.0,30.0,83.0,4.0,4.0,420.0,144.0,37941.0,27181300.0,28.0,295.0,128.0,0.0,529800.0,23.73,5.41,1.4100000000000001,3.91,0.19,0.19,18.49,6.46,6.21,69.74,30.26,0.0,34.839999999999996
399,"IMMED N STAPLETON INTL ARPT, ADAMS COUNTY, CO 80022",Adams County,39.866593,-104.7754307,58.15,Colorado,Adams County,8538,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,"Postal Address is unavailable for the Site, ANCHORAGE, AK 99505",Anchorage,61.3008086,-149.7106353,50.0,Alaska,Anchorage Municipality,300,1,8000.0,1060.0,929.0,96.0,140.0,59.0,19.0,623.0,95.0,54919.0,122974000.0,90.0,1737.0,18.0,11.0,0.0,13.25,11.61,1.2,1.75,0.74,0.24,0.63,1.13,4.88,98.97,1.03,0.56,28.789999999999996
401,"COUNTY ROAD 12, RUBY MINING DISITRICT, GUNNISON NATIONAL FOREST, CO 81224",Gunnison National Forest,38.8697746,-106.9814332,50.0,Colorado,Gunnison County,963800,4,864.0,36.0,1.0,2.0,16.0,0.0,0.0,428.0,232.0,46944.0,41234300.0,242.0,224.0,216.0,9.0,656300.0,4.17,0.12,0.23,1.85,0.0,0.0,2.26,27.13,35.48,50.91,49.09,1.22,6.370000000000001
406,"BLACKBERRY HILL ROAD, BEACON FALLS, CT 06403",Beacon Falls,41.4374447,-73.0312892,46.77,Connecticut,New Haven County,341100,3,1419.0,52.0,18.0,2.0,22.0,0.0,0.0,242.0,51.0,86894.0,54042800.0,44.0,80.0,502.0,0.0,285700.0,3.66,1.27,0.14,1.55,0.0,0.0,11.31,3.19,7.03,13.75,86.25,0.0,6.619999999999999
407,"124 MAIN ST, DURHAM, CT 06422",Durham,41.4726856,-72.6809973,33.94,Connecticut,Middlesex County,585100,3,1306.0,15.0,8.0,1.0,47.0,0.0,1.0,503.0,164.0,114474.0,64623400.0,18.0,42.0,423.0,0.0,336400.0,1.15,0.61,0.08,3.6,0.0,0.08,5.82,10.5,3.73,9.03,90.97,0.0,5.52
